"WIND","IND","RAIN","IND.1","T.MAX","IND.2","T.MIN","T.MIN.G"
10.25,0,2.6,0,0.703,0,0.615,5.8
13.13,0,0.1,0,0.584,0,0.741,10.1
7.08,0,0,0,0.736,0,0.722,8.8
4.96,0,0,0,0.721,0,0.722,6.8
3.5,0,0,0,0.699,0,0.615,3.4
3.04,0,0,0,0.684,0,0.781,11.2
2.21,0,0,0,0.599,0,0.767,7.7
4.75,0,0,0,0.639,0,0.633,8.8
2.21,0,0,0,0.647,0,0.704,7.7
3.58,0,0,0,0.684,0,0.744,8.6
12.29,0,1.6,0,0.770,0,0.763,9.2
18.79,0,0,0,0.654,0,0.804,11.3
7.87,0,2.6,0,0.625,0,0.711,11.2
9.67,0,0,0,0.665,0,0.619,5.5
5.79,0,0,0,0.680,0,0.748,10.5
6.04,0,0,0,0.799,0,0.637,5.3
3.75,0,0,0,0.662,0,0.767,10.7
4.21,0,0.7,0,0.639,0,0.604,3.7
8.87,0,0.9,0,0.665,0,0.719,9
11.92,0,5.1,0,0.721,0,0.670,6
13.54,0,0,0,0.770,0,0.830,13.1
10.54,0,0,0,0.729,0,0.615,3.3
7.87,0,0.1,0,0.684,0,0.819,8.4
10.63,0,1.1,0,0.710,0,0.704,9.8
11.25,0,1.9,0,0.684,0,0.719,8.4
4.67,0,1.2,0,0.621,0,0.667,6.2
6.83,0,0.2,0,0.621,0,0.659,6.2
6.83,0,0.8,0,0.714,0,0.541,2.2
10.92,0,0.1,0,0.688,0,0.748,10.2
15.09,0,0.4,0,0.703,0,0.763,9.7
9.42,0,0.3,0,0.684,0,0.785,12
12.96,0,0,0,0.710,0,0.744,10.7
10.21,0,0.4,0,0.810,0,0.748,9.3
19.04,0,0.8,0,0.636,0,0.796,13.3
13.21,0,0.3,0,0.584,0,0.778,11.5
19,0,0.2,0,0.647,0,0.815,12.2
12.08,0,0,0,0.643,0,0.722,10.5
8.17,0,5,0,0.807,0,0.763,10.7
5.66,0,0,0,0.673,0,0.570,5
10.92,0,1.8,0,0.725,0,0.807,12.8
9.79,0,1.1,0,0.680,0,0.652,5.2
12.12,0,0,0,0.810,0,0.781,9.5
9.08,0,0,0,0.918,0,0.800,9.4
14.12,0,0,0,0.848,0,0.993,14.8
4.58,0,0,0,0.747,0,0.681,4.8
2.92,0,0.1,0,0.788,0,0.519,4.4
4.63,0,0.1,0,0.784,0,0.744,1.3
3.83,0,0.1,0,0.766,0,0.789,10.4
5.88,0,0,0,0.602,0,0.841,13.7
1.25,0,0,0,0.684,0,0.867,14.4
9.38,0,0.2,0,0.584,0,0.726,8.4
14.09,0,3.4,0,0.621,0,0.689,8.1
7.87,0,0,0,0.591,0,0.581,5
3.17,0,0,0,0.662,0,0.578,3.2
4.83,0,0,0,0.799,0,0.830,10.5
8.63,0,2.8,0,0.680,0,0.722,6.4
11.08,0,0.5,0,0.729,0,0.704,6.8
11.75,0,0.8,0,0.714,0,0.800,10.7
12.75,0,1,0,0.729,0,0.719,7.8
13,0,0.5,0,0.725,0,0.819,12.4
20.79,0,0,2,0.729,0,0.804,13.3
7.87,0,0,0,0.747,0,0.722,7.2
4.17,0,0.1,0,0.688,0,0.522,1.3
6.46,0,0,0,0.684,0,0.822,12.6
4.12,0,0.4,0,0.773,0,0.489,0.2
6.08,0,2.8,0,0.758,0,0.826,12.1
5.91,0,0,0,0.625,0,0.544,5
8.92,0,0,0,0.580,0,0.504,0.5
12.46,0,1.2,0,0.621,0,0.785,9.8
9.21,0,1.2,0,0.628,0,0.630,2.2
10.96,0,0,0,0.554,0,0.648,4.6
5.83,0,0.5,0,0.599,0,0.715,7.6
8.71,0,3.4,0,0.662,0,0.719,8.4
3.5,0,4,0,0.476,0,0.578,5.1
5.63,0,1.8,0,0.550,0,0.659,9.7
12.96,0,3,0,0.561,0,0.741,9.5
6.87,0,0.6,0,0.546,0,0.493,2.7
10.17,0,1.6,0,0.565,0,0.570,2.7
9.04,0,1.7,0,0.654,0,0.622,2.7
11.75,0,0.9,0,0.621,0,0.719,8.3
12.71,0,0.1,0,0.535,0,0.667,6.8
5.58,0,0,0,0.580,0,0.407,-1.5
9.92,0,0,0,0.665,0,0.544,2.6
2.96,0,0,0,0.584,0,0.659,0
9,0,0,0,0.517,0,0.426,2.3
14.58,0,2.2,0,0.457,0,0.574,4.1
22.17,0,0,0,0.472,0,0.659,7.3
21.84,0,0,0,0.461,0,0.556,4.5
13.21,0,1.1,0,0.361,0,0.544,3.5
12.08,0,0,0,0.401,0,0.426,-0.2
7.5,0,0.3,0,0.513,0,0.519,3.8
17.96,0,5.6,0,0.431,0,0.637,6.6
18.34,0,0.2,0,0.416,0,0.452,1.7
9.79,0,0,0,0.498,0,0.607,5.2
7.79,0,1.6,0,0.435,0,0.500,-0.4
9.75,0,0,0,0.439,0,0.470,1
9.42,0,0,0,0.390,0,0.389,-3.6
14.88,0,0,0,0.468,0,0.519,-1.1
15.25,0,0.5,0,0.576,0,0.641,8.4
13.08,0,0.3,0,0.576,0,0.619,3.1
15.83,0,0.5,0,0.439,0,0.630,5.4
11.21,0,0,0,0.309,0,0.415,-1.2
8.5,0,0,0,0.398,0,0.381,-2.4
8.21,0,0,2,0.424,0,0.578,4.1
9.29,0,4.1,0,0.494,0,0.578,5.6
6.58,0,0,0,0.375,0,0.419,-1.6
8.21,0,0,0,0.357,1,0.296,-6.3
7.71,0,0.3,0,0.230,1,0.274,-6.6
12.12,0,0,0,0.323,1,0.274,-5.5
13.04,0,0,0,0.394,0,0.363,-4.4
21.87,0,0,0,0.394,0,0.452,1.1
15.71,0,0,0,0.353,0,0.630,5.4
6,0,0,0,0.327,0,0.581,5.8
2.29,0,0.5,0,0.312,0,0.559,5
3.13,0,0.4,0,0.361,0,0.556,5.5
9.29,0,0,0,0.361,0,0.559,6.3
9.33,0,0,0,0.353,0,0.644,7.2
13.04,0,0,0,0.357,0,0.644,7.2
15.41,0,0,0,0.327,0,0.422,-0.5
11.83,0,0,0,0.290,0,0.437,-0.2
12.79,0,0.9,0,0.312,0,0.396,-1.7
16.5,0,5.8,0,0.491,0,0.578,6.7
7.25,0,0,0,0.208,0,0.504,3.3
12.21,0,3,0,0.271,0,0.344,-2.6
7.67,0,3.2,0,0.279,1,0.215,-7.8
17.83,0,0.1,2,0.190,0,0.359,-1.4
12.62,0,0,0,0.126,1,0.319,-3.1
8.87,0,4.5,0,0.208,1,0.133,-10.4
10.04,0,3.4,0,0.498,0,0.522,0.1
18.84,0,4.6,0,0.524,0,0.522,0.4
25.62,0,0.4,0,0.442,0,0.685,8.3
16.83,0,3.3,0,0.502,0,0.670,7.5
16.66,0,0.2,2,0.506,0,0.622,2.5
9.38,0,0.1,0,0.476,1,0.293,-5.5
6.92,0,0,0,0.420,0,0.622,3.3
9.54,0,0,0,0.338,0,0.511,1.6
4.79,0,0,0,0.167,1,0.233,-8.3
3.54,0,0,0,0.082,1,0.148,-8.5
3.63,0,0,0,0.230,1,0.130,-9
4.33,0,0,0,0.234,1,0.148,-6.7
18.12,0,0,2,0.190,0,0.474,3.4
8.5,0,0,0,0.100,1,0.315,-5.1
11.92,0,0,2,0.190,1,0.233,-10.7
17.12,0,0,0,0.190,0,0.359,-0.5
2.92,0,0,0,0.126,1,0.215,-9.4
8.96,0,0,0,0.145,1,0.141,-10
15,0,0,2,0.115,1,0.148,-8.6
17.29,0,0,0,0.067,0,0.337,0
8.46,0,0,1,0.000,1,0.044,-10.5
4.58,0,0,0,0.071,1,0.033,-8.8
15.29,0,1.8,0,0.342,1,0.248,-7.1
8.46,0,2.1,0,0.435,0,0.504,2.4
14.29,0,0,0,0.331,0,0.500,0.6
15.29,0,0,0,0.234,0,0.448,0.5
14.29,0,4.2,0,0.468,0,0.396,-1.1
25.96,0,0.7,0,0.286,0,0.422,0
23.54,0,0.1,0,0.286,0,0.452,0.7
19.7,0,0,0,0.208,0,0.333,-1.2
12.42,0,0.1,0,0.323,0,0.352,-2.6
19.75,0,2.7,0,0.305,0,0.430,-0.5
22.79,0,1,0,0.323,0,0.437,3.8
12.46,0,0,0,0.312,0,0.374,-2.7
16.08,0,1.1,0,0.368,0,0.415,1.6
10.29,0,1.1,0,0.416,0,0.489,1.8
17.29,0,2.4,0,0.331,0,0.537,3.8
23.25,0,0,0,0.234,0,0.400,-0.5
12.71,0,2.6,0,0.420,0,0.419,-0.4
17.25,0,1,0,0.439,0,0.456,1.1
18.29,0,0,0,0.424,0,0.600,5.4
7.41,0,0.9,0,0.327,0,0.593,4.7
5.17,0,0,0,0.290,0,0.504,1.8
3.63,0,0,0,0.309,0,0.541,5
2.17,0,0,0,0.383,0,0.537,4.5
13.33,0,0.3,0,0.416,0,0.374,-2.7
15.71,0,0.3,0,0.279,0,0.393,-0.5
13.17,0,0.8,0,0.375,0,0.411,1.1
15.96,0,0,0,0.401,0,0.467,-1.7
18.88,0,4,0,0.383,0,0.474,1.1
15.75,0,0,0,0.401,0,0.456,0.4
18.75,0,2.6,0,0.435,0,0.474,1.8
25,0,1.1,0,0.320,0,0.537,3.8
8.21,0,0.1,2,0.375,0,0.396,-1.4
14.96,0,1.1,0,0.394,0,0.585,6
24.41,0,0.4,0,0.465,0,0.396,-2.2
15.79,0,2.7,0,0.230,0,0.407,-0.1
11.71,0,0,0,0.257,1,0.293,-4
23.45,0,2.9,0,0.401,0,0.337,-5
14.12,0,0,0,0.394,0,0.448,2.4
8.29,0,0,0,0.368,0,0.474,-0.8
7.92,0,0,0,0.405,0,0.563,2.2
1.46,0,0,0,0.398,0,0.511,2.7
7.04,0,0,0,0.357,0,0.559,5.4
15.29,0,0,0,0.249,0,0.433,-2.3
20.21,0,0,0,0.152,0,0.452,-0.5
18.12,0,0,0,0.216,0,0.415,1.1
22.63,0,0.4,0,0.175,0,0.419,1.7
25.62,0,5.4,0,0.104,1,0.296,-1.5
13.88,0,5.5,0,0.138,1,0.315,-1.1
7.96,0,1.1,0,0.134,0,0.333,-0.1
9.59,0,0.5,0,0.208,0,0.337,-1.6
6.71,0,5,0,0.041,1,0.111,-5.4
5.33,0,0,0,0.126,1,0.059,-8.8
5.79,0,0,0,0.230,1,0.104,-12
8,0,0,0,0.230,1,0.089,-12
9,0,6,0,0.346,0,0.433,1.6
10.92,0,2.7,2,0.208,0,0.500,4.5
7.71,0,0,0,0.230,0,0.448,1.1
6.83,0,0,0,0.216,1,0.233,-7.2
4,0,0,0,0.204,1,0.193,-10
16.54,0,3,0,0.212,0,0.341,-3.2
12.58,0,0,0,0.230,0,0.396,1.8
7.71,0,0,0,0.271,0,0.463,2.3
5.79,0,0,0,0.435,1,0.178,-9.2
9.04,0,0,0,0.253,1,0.315,-6.3
7.67,0,0,0,0.353,1,0.274,-6.4
6.71,0,0,0,0.245,0,0.415,-2.3
5.96,0,0.5,0,0.349,1,0.278,-6.6
9.42,0,0,0,0.257,0,0.426,-0.5
3.5,0,0.2,0,0.257,0,0.430,0
19.41,0,2.3,0,0.383,0,0.433,1.5
14.88,0,0.3,0,0.472,0,0.437,1.7
9.92,0,0.2,0,0.416,0,0.393,-2.2
13.54,0,4.4,0,0.379,1,0.256,-7.7
10.83,0,1.2,0,0.509,0,0.452,2.2
13.75,0,0.3,0,0.349,0,0.363,-3.8
16.42,0,0.4,0,0.346,1,0.330,-4.3
19.79,0,2.7,0,0.323,0,0.385,-2
20.83,0,5.2,0,0.368,0,0.422,-0.1
10.67,0,4,0,0.454,0,0.459,0
17.83,0,3.8,0,0.383,0,0.396,-1.1
22.42,0,1.7,0,0.349,0,0.496,3
17.08,0,1.1,0,0.405,0,0.374,-1.1
22.5,0,1.5,0,0.491,0,0.533,5.5
16.21,0,3.8,0,0.353,0,0.444,1.3
12.04,0,1.8,0,0.416,0,0.500,4.3
14.12,0,0.1,0,0.461,0,0.578,5.6
3.79,0,0,0,0.394,0,0.519,3.4
6.58,0,0,0,0.398,1,0.293,-5.2
11.42,0,0,0,0.309,0,0.396,-3.7
13.83,0,0,0,0.286,0,0.400,-3.1
15.34,0,0.5,0,0.342,0,0.393,-2.8
14.83,0,3.3,0,0.338,0,0.533,5.3
11.71,0,0.8,0,0.316,0,0.544,4.3
6.21,0,0,0,0.450,0,0.559,5.6
6.17,0,0.2,0,0.457,0,0.456,-0.4
8.58,0,0,0,0.554,0,0.341,-4.3
8.96,0,0,0,0.491,0,0.559,2.7
5.79,0,0,0,0.628,0,0.600,5.3
5.83,0,0,0,0.561,0,0.456,-1.4
7.67,0,0,0,0.591,0,0.548,0.6
6.42,0,0,0,0.494,0,0.522,-0.5
5.17,0,0,0,0.580,0,0.359,-2.1
5.37,0,0,2,0.487,0,0.459,-1.1
5.41,0,0,0,0.509,0,0.374,-2.2
2.25,0,0,0,0.517,0,0.407,-1.3
4,0,0,0,0.587,0,0.437,-1.4
3.5,0,0,0,0.587,0,0.433,-0.7
5.83,0,0,0,0.625,0,0.659,8.3
8.79,0,0,0,0.587,0,0.570,1.8
14.09,0,0.3,0,0.695,0,0.715,7.1
11.34,0,2,0,0.625,0,0.759,6.6
7.04,0,2.6,0,0.498,0,0.537,-0.5
11.04,0,1.6,0,0.524,0,0.563,3.1
10.46,0,0.3,0,0.498,0,0.578,1.1
8.75,0,0,0,0.617,0,0.452,-1.6
13.79,0,0,0,0.651,0,0.711,7.6
9.83,0,3.5,0,0.543,0,0.648,4.6
23.25,0,0.4,0,0.498,0,0.630,5.7
18.05,0,2.8,0,0.509,0,0.511,2.3
17.12,0,1.6,0,0.465,0,0.537,5
12.42,0,0.9,0,0.480,0,0.496,-0.5
11.63,0,1.5,0,0.602,0,0.500,4.6
16,0,0,0,0.591,0,0.578,0.6
16.42,0,0.4,0,0.554,0,0.548,4.4
11.67,0,0.1,0,0.517,0,0.496,2.2
8,0,0,0,0.413,0,0.419,-0.4
7.46,0,0,0,0.413,0,0.485,1.2
9.92,0,0,0,0.461,0,0.526,3.3
6.83,0,3.8,0,0.539,0,0.526,1.7
6.75,0,0.1,0,0.401,0,0.667,8.6
7.17,0,0,0,0.584,0,0.430,-0.5
7.83,0,0,0,0.439,0,0.426,-0.8
5.91,0,0,0,0.524,0,0.374,-2.6
3.17,0,0,0,0.543,0,0.426,-0.4
3,0,0,0,0.584,0,0.537,1.1
3.33,0,0,0,0.613,0,0.500,1.8
8.21,0,0,0,0.625,0,0.504,1.1
6.08,0,0,0,0.751,0,0.511,1.1
3.83,0,0,0,0.810,0,0.648,5.5
5.41,0,0,0,0.848,0,0.726,8.1
8.29,0,0,0,0.714,0,0.744,7.8
6.5,0,4.4,0,0.565,0,0.615,4.3
7.96,0,2.3,0,0.606,0,0.670,8.3
9.08,0,0,0,0.751,0,0.756,10.7
9.62,0,0,0,0.584,0,0.659,5.6
14,0,0.2,0,0.628,0,0.826,11.5
8.42,0,0,0,0.684,0,0.496,0
10.37,0,1.6,0,0.628,0,0.567,1.6
21.5,0,1.6,0,0.688,0,0.793,11.4
23.42,0,0.9,0,0.584,0,0.744,9.5
12.54,0,1.9,0,0.740,0,0.681,6.1
16.04,0,0.8,0,0.725,0,0.844,12.2
13.67,0,0.2,0,0.688,0,0.726,9.3
16.66,0,0.3,0,0.647,0,0.667,7.5
25.29,0,0,0,0.602,0,0.689,10.5
18.79,0,0.2,0,0.602,0,0.596,5.4
14.33,0,0,0,0.610,0,0.689,8.3
11.92,0,0,0,0.602,0,0.500,2.3
12.79,0,0.6,0,0.688,0,0.767,9.2
6.42,0,0,0,0.643,0,0.556,6.7
7.12,0,0,0,0.751,0,0.622,5.7
11.17,0,0,0,0.773,0,0.678,7.7
17.5,0,0,0,0.714,0,0.770,10.6
12.87,0,0,0,0.710,0,0.726,10.5
10.08,0,0,0,0.602,2,0.748,9.8
7.79,0,0,0,0.513,0,0.530,2.1
5.46,0,0,0,0.580,0,0.693,9.3
3.13,0,0,0,0.580,0,0.752,10.6
4.67,0,0,0,0.621,0,0.748,9.7
7.5,0,4.5,0,0.532,0,0.748,10.7
5.71,0,0,0,0.584,0,0.744,11.1
4.75,0,0,0,0.703,0,0.707,9.6
5.54,0,4.3,0,0.717,0,0.641,5.5
8,0,3.4,0,0.565,0,0.789,11.8
5.79,0,0,2,0.554,0,0.763,11.4
1.87,0,0,0,0.662,0,0.719,6.3
4.54,0,0,0,0.643,0,0.530,1.5
13.04,0,0,0,0.688,0,0.826,13.2
12.96,0,1.2,0,0.647,0,0.756,11
11.29,0,2.6,0,0.673,0,0.789,11.1
5.88,0,1.9,0,0.688,0,0.763,10.5
4.38,0,2,0,0.565,0,0.781,11
10,0,0,0,0.580,0,0.722,9.2
3.67,0,0,0,0.636,0,0.744,8.4
6.58,0,1.9,0,0.810,0,0.852,13.3
12.17,0,0,0,0.766,0,0.867,13.4
9.54,0,0,0,0.617,0,0.807,10.8
7.41,0,0.5,0,0.710,0,0.896,12.1
5,0,5.5,0,0.729,0,0.833,11.1
6.17,0,1.6,0,0.684,0,0.822,12.2
6.46,0,5.2,0,0.625,0,0.785,8.4
5.25,0,1.9,0,0.565,0,0.644,6
11.63,0,1.2,0,0.606,0,0.544,3.8
8.04,0,0.2,0,0.621,0,0.685,8.2
18.79,0,1.1,0,0.647,0,0.781,10.7
8.38,0,3,0,0.677,0,0.707,10.8
7.54,0,0.1,0,0.502,0,0.719,9.3
6.13,0,0,0,0.535,0,0.463,0.6
7.25,0,1.1,0,0.606,0,0.685,9
7.92,0,1.9,0,0.576,0,0.722,8.8
11.75,0,1.1,0,0.528,0,0.544,3.7
10.58,0,0,0,0.498,0,0.522,3.3
6.79,0,0,0,0.543,0,0.437,0.1
2.88,0,0,0,0.498,0,0.607,4
4.63,0,0,0,0.480,0,0.681,5.7
2.29,0,0,0,0.535,0,0.474,-1.3
6.58,0,0,0,0.524,0,0.419,-1.5
8.33,0,0,0,0.602,0,0.704,9
4.88,0,1.3,0,0.606,0,0.789,10.5
16.54,0,3,0,0.610,0,0.689,6.7
13.29,0,1.6,0,0.621,0,0.722,7.6
7.12,0,0,0,0.610,0,0.574,1
7.33,0,0,0,0.643,0,0.433,-1.6
11.54,0,0.5,0,0.621,0,0.759,7
8.29,0,0,0,0.662,0,0.707,7.2
6.25,0,0,0,0.662,0,0.578,3.3
8.04,0,0,0,0.665,0,0.722,6.7
8.46,0,0,0,0.628,0,0.763,9.2
4.88,0,0,0,0.621,0,0.533,2.7
4.83,0,0,0,0.580,0,0.707,7.2
7.79,0,0,0,0.580,0,0.696,6.8
4.96,0,0,0,0.543,0,0.633,4.3
2.5,0,0,0,0.546,0,0.559,3.4
4.88,0,0,0,0.476,0,0.619,5
3.92,0,0,0,0.584,0,0.715,9.3
4.38,0,0,0,0.480,0,0.481,2.3
6.29,0,0,0,0.375,0,0.467,3.5
11.63,0,0.2,0,0.561,0,0.578,7.2
5.58,0,0,0,0.602,0,0.685,10
3.79,0,0,0,0.494,0,0.596,5.1
6.34,0,0,0,0.480,0,0.685,5.4
4.92,0,0,2,0.543,0,0.693,8.5
6.54,0,0,0,0.535,0,0.467,-0.1
8.5,0,0.5,0,0.587,0,0.667,8.3
11.79,0,0.5,0,0.539,0,0.752,10.6
11.04,0,0,0,0.327,0,0.433,0.8
